Berufsgattung,Bezeichnung,Total (in T),Frauenanteil,Auslaenderanteil,Exposure,Proximity,Exp_Prox,ISCO_kurz,Orig_Source
7110.0,"Baukonstruktions- und verwandte Berufe, onA",0.22193681219999278,0.0,32.148203062741516,11.220238095238097,67.72023809523809,39.470238095238095,71,0
7112.0,Maurer und verwandte Berufe,22.948648893307993,0.7007423574695935,58.4107203418386,12.5,81.5,47.0,71,1
7113.0,"Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer",1.2998092844319862,1.2954152556798846,48.26961668639122,6.0,80.0,43.0,71,1
7114.0,"Betonierer, Betonoberflächenfertiger und verwandte Berufe",4.538465678215606,0.35147144617693016,79.85562510625108,6.666666666666667,72.0,39.333333333333336,71,1
7115.0,"Zimmerleute, Bautischler, Storenmonteure, Bootbauer",40.79999004401739,3.2407992775678878,18.419522542228464,9.0,80.0,44.5,71,1
7119.0,"Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt",3.2206903928084682,0.0,63.52178480961459,8.666666666666666,68.33333333333333,38.5,71,1
7120.0,"Ausbaufachkräfte und verwandte Berufe, onA",1.59427387821429,0.0,43.48346574457418,11.220238095238097,67.72023809523809,39.470238095238095,71,0
7121.0,Dachdecker,4.250170842402425,0.0,40.07697816106416,4.0,77.0,40.5,71,1
7122.0,Boden- und Fliesenleger,11.925967765997576,1.3389275110824457,52.68447760023446,8.75,63.75,36.25,71,1
7123.0,"Gipser, Trockenbauer",7.454028839105712,0.0,77.92682177100491,7.0,59.0,33.0,71,1
7124.0,Isolierer,5.956804661890632,0.5427052460495361,77.12254418401952,13.0,58.5,35.75,71,1
7125.0,Glaser,1.0656332412635978,0.0,37.49357506428197,18.0,69.0,43.5,71,1
7126.0,Bauspengler und Sanitär- und Heizungsinstallateure,27.499691498126996,1.4105593258942974,28.97883043143547,38.333333333333336,73.33333333333333,55.83333333333333,71,1
7127.0,"Klima-, Kälte, und Lüftungsanlagenbauer",3.286924097608524,0.6207894005685262,41.71736759718305,17.666666666666668,63.666666666666664,40.666666666666664,71,1
7131.0,Maler und verwandte Berufe,20.01266572755243,12.49407637538853,41.89462269543618,7.5,54.0,30.75,71,1
7132.0,Lackierer und verwandte Berufe,5.077341099570132,9.84623487018608,35.48276176622559,0.0,48.0,24.0,71,1
7133.0,Fassadenreiniger und Schornsteinfeger/Rauchfangkehrer,1.3521206171916271,10.441013538715438,1.4210854715202004e-14,11.220238095238097,67.72023809523809,39.470238095238095,71,0
7200.0,"Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe, onA",31.054623121379322,2.140980308233978,21.705689686084952,6.982653920153919,61.714405964405955,34.348529942279946,72,0
7210.0,"Blechkaltverformer, Baumetallverformer, Former (für Metallguss), Schweisser, Anlagen- und Apparatebauer und verwandte Berufe, onA",2.347047831235956,0.0,17.66553671725282,6.982653920153919,61.714405964405955,34.348529942279946,72,0
7211.0,Former und Kernmacher (für Metallguss),0.3542487170239374,15.728017991830328,37.51722900988586,5.5,68.5,37.0,72,1
7212.0,Schweisser und Brennschneider,3.1370276359786993,13.633141644731765,71.34544504734414,0.3333333333333333,46.666666666666664,23.5,72,1
7213.0,Blechkaltverformer,4.591035063377124,3.670667376237759,34.92783180067231,12.666666666666666,64.33333333333333,38.5,72,1
7214.0,Baumetallverformer und Metallbauer,10.95362172364703,1.5406061512407945,31.421922085307344,9.666666666666666,72.66666666666667,41.16666666666667,72,1
7215.0,Verspannungsmonteure und Seilspleisser,0.2340657523080292,49.00370901427562,45.09896717186638,15.0,77.0,46.0,72,1
7221.0,"Grobschmiede, Hammerschmiede und Schmiedepresser",0.802921835848711,4.442435011031208,38.54239035938942,6.982653920153919,61.714405964405955,34.348529942279946,72,0
7222.0,Werkzeugmechaniker und verwandte Berufe,4.967875057824664,3.8714371775143803,36.381573720430744,6.75,63.5,35.125,72,1
7223.0,Werkzeugmaschineneinrichter und -bediener,10.293842909214913,12.135845055513897,44.933075613358476,4.454545454545454,53.63636363636363,29.045454545454543,72,1
7224.0,"Metallpolierer, Rundschleifer und Werkzeugschärfer",2.106207541993325,6.937824949480728,43.877430484598264,1.5,54.0,27.75,72,1
7230.0,"Maschinenmechaniker und -schlosser, onA",0.35488229242626573,0.0,27.731699181346556,6.982653920153919,61.714405964405955,34.348529942279946,72,0
7231.0,Kraftfahrzeugmechaniker und -schlosser,26.317117291348143,4.028672078270219,25.459269601013816,9.777777777777779,54.55555555555556,32.16666666666667,72,1
7232.0,Flugmotorenmechaniker und -schlosser,1.1869444632809083,1.5041122867121857,23.864650931831534,4.0,54.0,29.0,72,1
7233.0,Landmaschinen- und Industriemaschinenmechaniker und -schlosser,27.639930546205196,1.825189368924839,17.05610461273494,14.142857142857142,66.71428571428571,40.42857142857142,72,1
